model,case_name,time_s,field_rmse,field_mae,coefficient_rmse
ExtraTrees,surrVal_054_H0305_obsH0048_x0343,0.95,0.14610360853301263,0.048358681247183906,0.7754533302103259
ExtraTrees,surrVal_055_H0314_obsH0032_x0267,0.95,0.10446980638754624,0.03371089240569432,0.6010625907861129
ExtraTrees,surrVal_056_H0296_obsH0047_x0299,0.95,0.12843338069684246,0.04257909131044539,0.7325781682954013
ExtraTrees,surrVal_057_H0261_obsH0049_x0313,0.95,0.1236502025592366,0.04154015044058758,0.562134917546427
ExtraTrees,surrVal_058_H0335_obsH0048_x0318,0.95,0.10593519362317474,0.036237466328499404,0.6225925422368488
ExtraTrees,surrVal_059_H0348_obsH0036_x0374,0.95,0.10851177533071829,0.03812410479219076,0.572172796913408
ExtraTrees,surrVal_060_H0302_obsH0032_x0248,0.95,0.1300915456194338,0.04098545794088599,0.7684556482650117
ExtraTrees,surrVal_001_H0299_obsH0070_x0370,0.975,0.10789193768036258,0.033816471360802874,0.6067277036840542
ExtraTrees,surrVal_002_H0325_obsH0052_x0283,0.975,0.13258330632257367,0.04684684092767907,0.7174747618760186
ExtraTrees,surrVal_003_H0332_obsH0059_x0322,0.975,0.14159539978591798,0.04765047559865703,0.7069970312243137
ExtraTrees,surrVal_004_H0240_obsH0035_x0369,0.975,0.08682464835977084,0.024305781016687806,0.4648818651996113
ExtraTrees,surrVal_005_H0322_obsH0057_x0303,0.975,0.14574098266507288,0.05129155270406122,0.7154417928772633
ExtraTrees,surrVal_006_H0342_obsH0062_x0366,0.975,0.1287314680854509,0.045097083995153435,0.7438274838287892
ExtraTrees,surrVal_007_H0305_obsH0063_x0340,0.975,0.12431790746728429,0.04431621166220642,0.7144900365504502
ExtraTrees,surrVal_008_H0275_obsH0066_x0246,0.975,0.1173542764514486,0.03320017626938222,0.6721012365404438
ExtraTrees,surrVal_009_H0359_obsH0038_x0362,0.975,0.1294706840966378,0.04780975733061471,0.7026420887771611
ExtraTrees,surrVal_010_H0351_obsH0059_x0293,0.975,0.1558166164741865,0.056736939946630996,0.9217874025134188
ExtraTrees,surrVal_011_H0339_obsH0071_x0292,0.975,0.10941273899897679,0.03682140655020735,0.43876723343296675
ExtraTrees,surrVal_012_H0290_obsH0038_x0258,0.975,0.12955657799871825,0.038276736382688165,0.7890422186035543
ExtraTrees,surrVal_013_H0311_obsH0055_x0271,0.975,0.1130915929594485,0.03910985982245588,0.6752988111080623
