case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water
surrGrid_H0240_obsH0048_x0320,training_grid,0.24,0.048,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3512.516,0.42,4604.408,0.42,0.9999585,0.805,1.0,0.15,0.145,0.505,1.355,0.995,863.9525047087502,1678.9091693849994,898.1292,1062.922,0.8021373,1.0
surrGrid_H0240_obsH0048_x0350,training_grid,0.24,0.048,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2349.254,0.425,4851.352,0.165,0.9999137,0.815,1.0,0.165,0.16,0.515,1.34,0.985,837.3602318235,1578.1051039765002,698.4599,898.5772,0.8636051,1.0
surrGrid_H0240_obsH0048_x0380,training_grid,0.24,0.048,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1438.174,0.195,5053.1,0.18,0.9999281,0.92,1.0,0.18,0.175,0.535,1.325,0.965,811.5680582857502,1469.1977751554991,646.1897,792.7181,0.919481,1.0
surrGrid_H0240_obsH0060_x0220,training_grid,0.24,0.06,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1936.787,0.37,4319.675,0.115,0.9844955,0.81,1.0,0.095,0.085,0.2,1.415,1.3,971.4561471274997,1547.9064817550013,609.2876,829.4746,0.8951226,1.0
surrGrid_H0240_obsH0060_x0250,training_grid,0.24,0.06,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3442.339,0.405,5099.628,0.405,0.996931,0.81,1.0,0.11,0.105,0.32,1.395,1.18,957.6543958500004,1625.3024232999999,485.8832,689.5542,0.8019727,1.0
surrGrid_H0240_obsH0060_x0275,training_grid,0.24,0.06,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1497.192,0.15,4167.129,0.145,0.999813,0.77,1.0,0.125,0.12,0.4,1.38,1.1,900.4354991310001,1555.545975382499,635.2654,749.0436,0.9597506,1.0
surrGrid_H0240_obsH0060_x0292,training_grid,0.24,0.06,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2252.203,0.47,4392.538,0.135,0.9980418,0.735,1.0,0.135,0.13,0.43,1.37,1.07,854.1497370977501,1604.0218912950008,661.9012,773.6685,0.9352471,1.0
surrGrid_H0240_obsH0060_x0320,training_grid,0.24,0.06,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2297.737,0.49,4487.545,0.15,0.9998736,0.735,1.0,0.15,0.145,0.475,1.355,1.025,830.1785250092499,1602.9521007224994,508.8578,803.3446,0.7696551,1.0
surrGrid_H0240_obsH0060_x0350,training_grid,0.24,0.06,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1950.132,0.505,4881.403,0.165,0.9999746,0.8,1.0,0.165,0.16,0.6,1.34,0.9,782.692844507751,1600.2721156695009,585.4657,912.1619,0.8132278,1.0
surrGrid_H0240_obsH0060_x0380,training_grid,0.24,0.06,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1653.886,0.63,5090.987,0.18,0.9950288,0.815,1.0,0.18,0.175,0.6,1.325,0.9,778.0256788789998,1552.1177935104997,477.429,977.7876,0.677261,1.0
surrGrid_H0240_obsH0066_x0220,training_grid,0.24,0.066,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2507.517,0.385,4453.185,0.115,0.9924381,1.065,1.0,0.095,0.085,0.22,1.415,1.28,988.0492692724994,1590.5213032549984,682.8875,852.5893,0.9477993,1.0
surrGrid_H0240_obsH0066_x0250,training_grid,0.24,0.066,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1606.149,0.14,4253.695,0.135,0.9861908,1.165,1.0,0.11,0.105,0.345,1.395,1.155,933.9191042025,1549.622858112501,443.6032,728.3527,0.7186627,1.0
surrGrid_H0240_obsH0066_x0275,training_grid,0.24,0.066,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1572.206,0.485,4182.388,0.145,0.9414025,0.785,1.0,0.125,0.12,0.41,1.38,1.09,899.6974539919995,1516.9098057325002,589.1493,722.0695,0.9056354,1.0
