case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water,area_average_p_rgh_percentile_90_Pa,area_average_p_rgh_percentile_95_Pa,area_average_p_rgh_percentile_99_Pa,area_average_p_rgh_top_0p01_mean_Pa,area_average_p_rgh_top_0p02_mean_Pa,area_average_p_rgh_top_0p05_mean_Pa,area_average_p_rgh_top_0p1_mean_Pa,area_average_p_rgh_rolling_0p025s_peak_mean_Pa,area_average_p_rgh_rolling_0p025s_peak_time_s,area_average_p_rgh_rolling_0p05s_peak_mean_Pa,area_average_p_rgh_rolling_0p05s_peak_time_s,area_average_p_rgh_rolling_0p1s_peak_mean_Pa,area_average_p_rgh_rolling_0p1s_peak_time_s,area_average_alpha_percentile_95,maximum_p_rgh_percentile_90_Pa,maximum_p_rgh_percentile_95_Pa,maximum_p_rgh_percentile_99_Pa,maximum_p_rgh_top_0p01_mean_Pa,maximum_p_rgh_top_0p02_mean_Pa,maximum_p_rgh_top_0p05_mean_Pa,maximum_p_rgh_top_0p1_mean_Pa,maximum_p_rgh_rolling_0p025s_peak_mean_Pa,maximum_p_rgh_rolling_0p025s_peak_time_s,maximum_p_rgh_rolling_0p05s_peak_mean_Pa,maximum_p_rgh_rolling_0p05s_peak_time_s,maximum_p_rgh_rolling_0p1s_peak_mean_Pa,maximum_p_rgh_rolling_0p1s_peak_time_s,maximum_alpha_percentile_95
surrVal_004_H0240_obsH0035_x0369,validation_lhs,0.240235,0.034731,0.368732,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2921.586,0.36,4895.096,0.175,0.9999943,0.87,1.0,0.175,0.17,0.525,1.33,0.975,887.8946031035003,1564.5956424160008,649.2247,701.9254,0.9264408,1.0,911.1637999999999,1063.5963500000003,1389.1397599999998,1933.0726666666667,1608.271,1322.0768666666668,1154.9447166666664,1254.4801666666665,0.195,1130.1126272727272,0.2,1022.653061904762,0.76,0.9995589349999999,2176.5203,2731.9720999999995,4252.036409999996,4771.647,4335.6865,3569.6177333333335,3017.5305,4335.6865,0.185,3782.045545454546,0.195,3061.012476190476,0.22,1.0
surrVal_005_H0322_obsH0057_x0303,validation_lhs,0.322089,0.057429,0.302865,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1757.644,0.165,4897.709,0.14,0.9998048,0.845,1.0,0.14,0.135,0.495,1.365,1.005,1157.9461029900006,2108.2543130425015,759.2508,968.9373,0.985349,1.0,1159.8269,1411.8640000000003,1726.9524499999998,1747.8836666666666,1725.33,1602.9440666666667,1435.5383999999997,1722.4166666666663,0.175,1631.2871818181818,0.18,1405.9731190476193,0.195,0.99735764,2949.2688000000007,3871.647100000001,4847.40723,4889.1163333333325,4843.314833333333,4563.954,3964.863600000001,4834.466166666666,0.155,4692.456090909091,0.165,4075.1435238095237,0.185,1.0
surrVal_006_H0342_obsH0062_x0366,validation_lhs,0.341534,0.061586,0.365695,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2574.936,0.37,5834.82,0.17,0.9992086,1.21,1.0,0.175,0.165,0.55,1.335,0.95,1138.323639061501,2144.5147598199997,837.8622,1038.713,0.9241119,1.0,1134.3270000000005,1534.433,1838.3854,2103.4376666666667,1951.532833333333,1753.8640666666665,1572.8447999999999,1810.6938333333335,0.205,1720.1681818181821,0.21,1489.019,0.225,0.99804969,3004.126000000001,3791.53965,5383.008489999999,5652.081999999999,5485.870666666667,4866.2804,4148.314866666666,5485.870666666667,0.185,5165.7406363636355,0.195,4397.805476190477,0.215,1.0
surrVal_007_H0305_obsH0063_x0340,validation_lhs,0.304578,0.062735,0.339864,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1739.739,0.76,5321.71,0.16,0.9765462,0.845,1.0,0.16,0.155,0.51,1.345,0.99,958.0833737739997,1853.312034712501,629.1461,1062.211,0.6951093,1.0,989.1468300000004,1462.2221500000005,1709.1272399999998,1736.198,1712.2205000000001,1629.970266666667,1428.6991333333333,1674.4736666666668,0.19,1572.931181818182,0.195,1341.5331333333334,0.215,0.9630682599999999,2392.280000000003,3885.9514000000013,4994.629989999999,5119.395,5034.697499999999,4644.055533333333,3898.2370666666675,5020.529166666666,0.175,4749.993818181818,0.18,4007.3646190476215,0.205,1.0
surrVal_008_H0275_obsH0066_x0246,validation_lhs,0.275083,0.065858,0.245635,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2989.664,0.37,4675.176,0.135,0.9987798,0.81,1.0,0.11,0.105,0.3,1.395,1.2,1107.3419518199996,1932.8796710050003,681.8081,897.6922,0.9607906,1.0,939.2673100000002,1216.7107500000002,1726.8138799999997,2178.5843333333337,1917.2556666666667,1563.2385333333332,1324.0339266666665,1674.0143333333335,0.145,1516.7600909090913,0.15,1256.5152809523806,0.17,0.9976782399999999,2198.580000000001,3020.1648000000023,4384.98816,4555.306666666666,4428.361833333333,3985.934,3301.9266,4428.3618333333325,0.135,4161.326181818182,0.135,3513.0290476190476,0.155,1.0
surrVal_009_H0359_obsH0038_x0362,validation_lhs,0.35913,0.038273,0.361855,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1823.145,0.86,5665.672,0.17,0.9994203,1.395,1.0,0.17,0.165,0.46,1.335,1.04,1272.0151613750002,2296.2064807799998,966.8205,1443.626,0.998868,1.0,1299.1537999999998,1482.64315,1649.4914899999999,1770.7073333333335,1690.5148333333334,1584.1705333333337,1491.1849000000004,1623.5985,0.19,1543.2859090909094,0.2,1374.820095238095,0.22,0.99892275,2954.8133000000003,3723.2492500000017,5005.659749999998,5495.677,5178.4738333333335,4613.592466666667,3918.7401000000004,5178.4738333333335,0.18,4828.133818181818,0.19,4268.3631904761905,0.215,1.0
surrVal_010_H0351_obsH0059_x0293,validation_lhs,0.351462,0.058795,0.293027,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3938.634,0.34,5630.552,0.76,0.9991628,0.865,1.0,0.135,0.13,0.49,1.37,1.01,1324.6054282024998,2268.0447545249976,897.0924,1122.7,0.9865813,1.0,1294.1858000000007,1595.75435,1854.87475,2700.077333333333,2270.1693333333333,1937.7759333333331,1689.8940999999998,1816.117833333333,0.17,1730.3246363636363,0.175,1520.1405714285715,0.195,0.996477855,2957.4452000000006,4194.517900000002,4973.94782,5222.449,5074.4619999999995,4796.245599999999,4203.783066666667,4930.802333333332,0.16,4801.804,0.16,4315.148476190477,0.18,1.0
surrVal_011_H0339_obsH0071_x0292,validation_lhs,0.338578,0.070731,0.291549,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2999.414,0.365,5169.636,0.16,0.9937452,0.82,1.0,0.135,0.13,0.475,1.37,1.025,1244.4075329374994,2302.9664831075006,643.55,866.6762,0.8568343,1.0,1152.138800000001,1420.0154500000006,1936.60472,2297.3223333333335,2100.8093333333336,1812.736133333333,1545.8105666666668,1907.2326666666665,0.175,1796.3117272727277,0.18,1543.3627619047616,0.195,0.9900030750000001,3045.1866,4330.431150000001,5039.3807400000005,5131.1410000000005,5056.5976666666675,4792.253333333333,4207.1828000000005,5056.597666666666,0.165,4909.216727272727,0.16,4356.915904761906,0.18,1.0
surrVal_012_H0290_obsH0038_x0258,validation_lhs,0.289819,0.037679,0.258139,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3710.334,0.325,4893.484,0.325,0.9999914,0.87,1.0,0.12,0.11,0.195,1.39,1.305,1117.2185201325015,1971.1361162949997,816.8127,867.4053,0.9961253,1.0,975.1368600000001,1073.8338,1354.0042999999998,2147.8199999999997,1725.0571666666665,1378.0525333333337,1194.787526666667,1311.6356666666666,0.14,1233.3056363636363,0.145,1085.3947809523806,0.17,0.999986615,2489.5072,2939.6881500000013,4126.87441,4394.540666666667,4209.421833333333,3722.004333333333,3206.9566666666665,4026.2965,0.13,3776.4039090909105,0.14,3309.7427619047626,0.16,1.0
surrVal_013_H0311_obsH0055_x0271,validation_lhs,0.310577,0.054975,0.271389,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3782.849,0.345,4796.104,0.345,0.9999861,1.125,1.0,0.125,0.12,0.425,1.38,1.075,1177.2120316549997,2046.5877674950007,833.6744,971.3913,0.9997553,1.0,1095.9363000000003,1278.86015,1687.5215,2395.2900000000004,2017.5515000000003,1643.5442,1418.365166666667,1649.8739999999998,0.155,1544.8359999999996,0.16,1329.3708857142856,0.18,0.99996776,2663.4525000000003,3427.428750000002,4588.34014,4700.814333333333,4615.647,4264.397199999999,3640.881266666666,4539.938999999999,0.15,4369.812545454545,0.145,3808.336047619047,0.17,1.0
